x0,x1,Y
11.899952782442575,15.212349638841527,2.0
12.478797328293961,16.6295382107566,2.0
12.67331083375824,10.73057526469206,0.0
13.054991472690608,14.051157145041312,2.0
16.564033730231806,11.089199097712394,1.0
10.731731741122498,9.164168464819983,0.0
15.16457226100165,11.122748829699479,1.0
12.438202928141303,12.235471720366315,0.0
10.043046189248184,17.465010132393807,2.0
9.268013978976036,10.306858651764719,0.0
6.279210442048834,12.12171479134356,0.0
11.889391196387718,14.094649857406061,2.0
7.006743135501495,12.535525185745065,0.0
10.494180763143072,9.340493727457188,0.0
9.032207282840245,15.619572327505228,0.0
11.188247625493924,9.829949928684044,0.0
14.72057424905684,11.58971217185291,1.0
15.561309530069057,12.584436219914714,1.0
9.988138162413353,10.636558435598163,0.0
8.983704591909994,9.888878625442906,0.0
11.580083518242425,8.963599738652453,0.0
22.671293117294173,16.662621094986598,1.0
9.102766231866202,19.513148570083683,2.0
12.330993219569232,15.774141448477312,2.0
10.394985408067518,10.304560796027124,0.0
6.885842372567275,12.061176030142432,0.0
13.198624778603051,11.34619311996221,0.0
13.686263451103862,9.039179992224746,1.0
12.662700287644757,13.090235728766995,0.0
10.957748894247787,7.926614044032274,0.0
14.280702930360288,10.510322939933058,1.0
13.83010605247293,11.267832158933961,1.0
15.005175132474898,14.268865787571281,1.0
16.269655091350835,11.729166584143517,1.0
7.390589553134726,8.469495741044627,0.0
6.7517774559144,11.375045735326292,0.0
13.199158534559857,12.021104168028971,1.0
14.850090362807567,14.763596092542013,2.0
12.401746706863017,15.41586010072925,2.0
9.512971421450416,10.471168201520687,0.0
16.821245900732357,12.28368972134992,1.0
13.405401367234093,16.113611517333204,2.0
10.477299144079526,9.782934945151204,0.0
7.670602212329905,10.246483784805172,0.0
18.352306155916075,15.0805108488598,1.0
12.176636721980906,14.422629193627253,2.0
9.594318186732592,13.362018659747033,0.0
20.870952052229008,14.79187724963774,1.0
9.428356871825422,11.135145297780829,0.0
13.749396431846026,7.027544469709439,0.0
18.075573463125,10.686366244682175,1.0
10.337887552634433,13.522722966380563,0.0
7.548503719620103,8.463405398776892,0.0
16.14375628542815,9.87966665024722,1.0
18.072772847077996,13.128080355938478,1.0
12.820660791804595,10.476329568926051,0.0
14.570644127808404,10.132056705155156,1.0
8.23282883960446,21.78327980061332,2.0
17.731494293691277,14.170816745831816,1.0
10.199419459427084,16.812414404896266,2.0
11.532854491933989,15.636943377940678,2.0
10.647113572813073,9.054191884405352,0.0
16.94254173757588,13.099500663849826,1.0
15.726531093580004,14.364281060030418,1.0
10.930576459185279,15.166299740167178,2.0
17.657172588161835,14.012316015641211,1.0
11.793995923208636,13.563077911229492,2.0
6.027157024144116,10.227800810282417,0.0
